# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      24     0.27019     0.46798     0.00000   -2.771789192   -4.374788361   -1.602999169
     1      24     0.28194     0.48833     0.00000   -2.874705773   -4.473456375   -1.598750603
     1      24     0.29369     0.50868     0.00000   -2.974089873   -4.568245065   -1.594155193
     1      24     0.30543     0.52903     0.00000   -3.062891307   -4.652475974   -1.589584667
     1      24     0.31718     0.54937     0.00000   -3.140803486   -4.725730259   -1.584926773
     1      24     0.32893     0.56972     0.00000   -3.202426231   -4.782666856   -1.580240624
     1      24     0.34068     0.59007     0.00000   -3.241898752   -4.818951332   -1.577052580
     1      24     0.35242     0.61041     0.00000   -3.255194496   -4.829273080   -1.574078584
     1      24     0.35830     0.60024     0.00000   -3.252067448   -4.827633033   -1.575565584
     1      24     0.36417     0.59007     0.00000   -3.243181030   -4.820233590   -1.577052560
     1      24     0.37004     0.57989     0.00000   -3.229455419   -4.807994980   -1.578539562
     1      24     0.37592     0.56972     0.00000   -3.211956410   -4.791893121   -1.579936712
     1      24     0.38179     0.55955     0.00000   -3.191763628   -4.772827695   -1.581064067
     1      24     0.38767     0.54937     0.00000   -3.169888964   -4.752080423   -1.582191458
     1      24     0.39354     0.53920     0.00000   -3.147230222   -4.730549127   -1.583318905
     1      24     0.39941     0.52903     0.00000   -3.124548091   -4.708830974   -1.584282883
     1      24     0.40529     0.51885     0.00000   -3.102492059   -4.687575371   -1.585083311
     1      24     0.41116     0.50868     0.00000   -3.081584014   -4.667467679   -1.585883664
     1      24     0.41703     0.49851     0.00000   -3.062228265   -4.648912125   -1.586683860
     1      24     0.42291     0.48833     0.00000   -3.043811612   -4.630421371   -1.586609759
     1      24     0.42878     0.47816     0.00000   -3.026512498   -4.612371984   -1.585859486
     1      24     0.43466     0.46798     0.00000   -3.011499648   -4.596608933   -1.585109285
     1      24     0.44053     0.45781     0.00000   -2.998728972   -4.583088388   -1.584359416
     1      24     0.44640     0.44764     0.00000   -2.987912959   -4.558210015   -1.570297055
     1      24     0.45228     0.43746     0.00000   -2.978060142   -4.534281523   -1.556221380
     1      24     0.45815     0.42729     0.00000   -2.964148037   -4.485276131   -1.521128093
     1      24     0.46402     0.41712     0.00000   -2.862656515   -4.366692897   -1.504036382
     1      24     0.46990     0.40694     0.00000   -2.743317615   -4.243383288   -1.500065673
     1      24     0.47577     0.39677     0.00000   -2.625730069   -4.121949514   -1.496219445
     1      24     0.48164     0.38660     0.00000   -2.512063110   -4.004551245   -1.492488135
     1      24     0.48752     0.37642     0.00000   -2.403358905   -3.893121916   -1.489763011
     1      24     0.49339     0.36625     0.00000   -2.300582407   -3.788937176   -1.488354768
     1      24     0.49927     0.35608     0.00000   -2.204768548   -3.692420325   -1.487651777
     1      24     0.50514     0.34590     0.00000   -2.117347354   -3.605109439   -1.487762085
     1      24     0.51101     0.33573     0.00000   -2.040797573   -3.507797250   -1.466999678
     1      24     0.51689     0.32555     0.00000   -1.980301439   -3.436647581   -1.456346142
     1      24     0.52276     0.31538     0.00000   -1.946567583   -3.422226632   -1.475659049
     1      24     0.52863     0.30521     0.00000   -1.950694981   -3.465368791   -1.514673810
     1      24     0.53451     0.29503     0.00000   -1.946567583   -3.422226632   -1.475659049
     1      24     0.54038     0.28486     0.00000   -1.980301439   -3.436647581   -1.456346142
     1      24     0.54626     0.27469     0.00000   -2.040797573   -3.507797250   -1.466999678
     1      24     0.55213     0.26451     0.00000   -2.117347354   -3.605109439   -1.487762085
     1      24     0.55800     0.25434     0.00000   -2.204768548   -3.692420325   -1.487651777
     1      24     0.56388     0.24417     0.00000   -2.300582407   -3.788937176   -1.488354768
     1      24     0.56975     0.23399     0.00000   -2.403358905   -3.893121916   -1.489763011
     1      24     0.57562     0.22382     0.00000   -2.512063110   -4.004551245   -1.492488135
     1      24     0.58150     0.21365     0.00000   -2.625730069   -4.121949514   -1.496219445
     1      24     0.58737     0.20347     0.00000   -2.743317615   -4.243383288   -1.500065673
     1      24     0.59325     0.19330     0.00000   -2.862656515   -4.366692897   -1.504036382
     1      24     0.59912     0.18312     0.00000   -2.964148037   -4.485276131   -1.521128093
     1      24     0.60499     0.17295     0.00000   -2.978060142   -4.534281523   -1.556221380
     1      24     0.61087     0.16278     0.00000   -2.987912959   -4.558210015   -1.570297055
